date,buy_date,model,K,n_hold,gross_ret,net_ret,buy_cost,sell_cost,roundtrip_cost,is_trade_day,equity
2025-06-09,2025-06-06,ZeroGraph,10,10,0.006895272821187973,0.005695272821187973,0.0001,0.0011,0.0012000000000000001,1,1.349348957854666
2025-06-10,2025-06-09,ZeroGraph,10,10,-7.721880823373792e-05,-0.001277218808233738,0.0001,0.0011,0.0012000000000000001,1,1.3476255439868234
2025-06-11,2025-06-10,ZeroGraph,10,10,0.0023173758238554,0.0011173758238554,0.0001,0.0011,0.0012000000000000001,1,1.3491313481892844
2025-06-12,2025-06-11,ZeroGraph,10,10,0.0029374536126852034,0.0017374536126852033,0.0001,0.0011,0.0012000000000000001,1,1.3514754013241828
2025-06-13,2025-06-12,ZeroGraph,10,10,0.010529238671064377,0.009329238671064378,0.0001,0.0011,0.0012000000000000001,1,1.3640836379012087
2025-06-16,2025-06-13,ZeroGraph,10,10,-0.0036009490936994557,-0.004800949093699456,0.0001,0.0011,0.0012000000000000001,1,1.3575347417960966
2025-06-17,2025-06-16,ZeroGraph,10,10,0.005965412765741349,0.004765412765741349,0.0001,0.0011,0.0012000000000000001,1,1.364003955184589
2025-06-18,2025-06-17,ZeroGraph,10,10,0.0007759108245372772,-0.0004240891754627229,0.0001,0.0011,0.0012000000000000001,1,1.3634254958719068
2025-06-19,2025-06-18,ZeroGraph,10,10,-0.001628637045621872,-0.002828637045621872,0.0001,0.0011,0.0012000000000000001,1,1.3595688600053382
2025-06-20,2025-06-19,ZeroGraph,10,10,0.0008316523656249046,-0.0003683476343750955,0.0001,0.0011,0.0012000000000000001,1,1.3590680660319852
2025-06-23,2025-06-20,ZeroGraph,10,10,-0.002476416260004044,-0.003676416260004044,0.0001,0.0011,0.0012000000000000001,1,1.3540715660955729
2025-06-24,2025-06-23,ZeroGraph,10,10,-0.0002579034455120565,-0.0014579034455120565,0.0001,0.0011,0.0012000000000000001,1,1.3520974604938922
2025-06-25,2025-06-24,ZeroGraph,10,10,0.002326963827013969,0.001126963827013969,0.0001,0.0011,0.0012000000000000001,1,1.3536212254224662
2025-06-26,2025-06-25,ZeroGraph,10,10,0.008727991431951522,0.007527991431951523,0.0001,0.0011,0.0012000000000000001,1,1.3638112744095543
2025-06-27,2025-06-26,ZeroGraph,10,10,-0.0016314124614000322,-0.002831412461400032,0.0001,0.0011,0.0012000000000000001,1,1.3599497621721932
2025-06-30,2025-06-27,ZeroGraph,10,10,0.004700051993131637,0.003500051993131637,0.0001,0.0011,0.0012000000000000001,1,1.364709657047843
2025-07-01,2025-06-30,ZeroGraph,10,10,0.0017372954487800598,0.0005372954487800597,0.0001,0.0011,0.0012000000000000001,1,1.365442909335481
2025-07-02,2025-07-01,ZeroGraph,10,10,-0.002219599395990371,-0.0034195993959903713,0.0001,0.0011,0.0012000000000000001,1,1.360773641587458
2025-07-03,2025-07-02,ZeroGraph,10,10,0.0008004673421382905,-0.00039953265786170963,0.0001,0.0011,0.0012000000000000001,1,1.3602299680776864
2025-07-04,2025-07-03,ZeroGraph,10,10,-0.0008862535059452056,-0.0020862535059452056,0.0001,0.0011,0.0012000000000000001,1,1.3573921835378926
2025-07-07,2025-07-04,ZeroGraph,10,10,-0.0020330675542354583,-0.0032330675542354584,0.0001,0.0011,0.0012000000000000001,1,1.3530036429109233
2025-07-08,2025-07-07,ZeroGraph,10,10,-0.008775885418057442,-0.009975885418057441,0.0001,0.0011,0.0012000000000000001,1,1.3395062335990295
2025-07-09,2025-07-08,ZeroGraph,10,10,-0.001357989713549614,-0.002557989713549614,0.0001,0.0011,0.0012000000000000001,1,1.3360797904322477
2025-07-10,2025-07-09,ZeroGraph,10,10,0.000790436252951622,-0.00040956374704837807,0.0001,0.0011,0.0012000000000000001,1,1.3355325805869227
2025-07-11,2025-07-10,ZeroGraph,10,10,-0.0009143879190087322,-0.0021143879190087325,0.0001,0.0011,0.0012000000000000001,1,1.3327087466330871
2025-07-14,2025-07-11,ZeroGraph,10,10,-0.002235396586358548,-0.003435396586358548,0.0001,0.0011,0.0012000000000000001,1,1.3281303635542938
2025-07-15,2025-07-14,ZeroGraph,10,10,-0.0024451810345053676,-0.0036451810345053677,0.0001,0.0011,0.0012000000000000001,1,1.323289087941715
2025-07-16,2025-07-15,ZeroGraph,10,10,0.0025148318521678445,0.0013148318521678443,0.0001,0.0011,0.0012000000000000001,1,1.3250289905841668
2025-07-17,2025-07-16,ZeroGraph,10,10,0.0017347814664244651,0.000534781466424465,0.0001,0.0011,0.0012000000000000001,1,1.3257375915308063
2025-07-18,2025-07-17,ZeroGraph,10,10,0.003881925217807293,0.002681925217807293,0.0001,0.0011,0.0012000000000000001,1,1.3292931206097278
2025-07-21,2025-07-18,ZeroGraph,10,10,0.002684827759861946,0.0014848277598619457,0.0001,0.0011,0.0012000000000000001,1,1.3312668919362027
2025-07-22,2025-07-21,ZeroGraph,10,10,0.004328246638178825,0.0031282466381788248,0.0001,0.0011,0.0012000000000000001,1,1.335431423115421
2025-07-23,2025-07-22,ZeroGraph,10,10,0.003292023591697216,0.0020920235916972157,0.0001,0.0011,0.0012000000000000001,1,1.3382251771576723
2025-07-24,2025-07-23,ZeroGraph,10,10,-0.0009425049349665642,-0.002142504934966564,0.0001,0.0011,0.0012000000000000001,1,1.3353580231115154
2025-07-25,2025-07-24,ZeroGraph,10,10,-0.0002677925080060959,-0.001467792508006096,0.0001,0.0011,0.0012000000000000001,1,1.3333979946096866
2025-07-28,2025-07-25,ZeroGraph,10,10,-0.00029588998109102296,-0.0014958899810910231,0.0001,0.0011,0.0012000000000000001,1,1.331403377908743
2025-07-29,2025-07-28,ZeroGraph,10,10,0.00019788667559623744,-0.0010021133244037628,0.0001,0.0011,0.0012000000000000001,1,1.3300691608435844
2025-07-30,2025-07-29,ZeroGraph,10,10,0.00866471666842699,0.0074647166684269906,0.0001,0.0011,0.0012000000000000001,1,1.3399977502786942
2025-07-31,2025-07-30,ZeroGraph,10,10,-0.001015957236289978,-0.002215957236289978,0.0001,0.0011,0.0012000000000000001,1,1.3370283725673517
2025-08-01,2025-07-31,ZeroGraph,10,10,0.003412743374705314,0.0022127433747053137,0.0001,0.0011,0.0012000000000000001,1,1.339986873240543
2025-08-04,2025-08-01,ZeroGraph,10,10,0.0011189516521990302,-8.10483478009699e-05,0.0001,0.0011,0.0012000000000000001,1,1.339878269518392
2025-08-05,2025-08-04,ZeroGraph,10,10,0.0073350097984075545,0.006135009798407554,0.0001,0.0011,0.0012000000000000001,1,1.3480984358305608
2025-08-06,2025-08-05,ZeroGraph,10,10,-0.00016014537960290913,-0.0013601453796029093,0.0001,0.0011,0.0012000000000000001,1,1.346264825971816
2025-08-07,2025-08-06,ZeroGraph,10,10,6.769043952226607e-05,-0.001132309560477734,0.0001,0.0011,0.0012000000000000001,1,1.3447404374384333
2025-08-08,2025-08-07,ZeroGraph,10,10,0.004317119665443897,0.0031171196654438973,0.0001,0.0011,0.0012000000000000001,1,1.34893215430089
2025-08-11,2025-08-08,ZeroGraph,10,10,0.0015616659969091415,0.00036166599690914134,0.0001,0.0011,0.0012000000000000001,1,1.3494200171932382
