date,n_obs,mse_candidate,mse_baseline,loss_diff,Candidate,Baseline,Comparison
2025-09-17,3047,0.7399912624236658,0.77540016415771,0.035408901734044075,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-18,3048,0.6858881350198041,0.7191437666113706,0.03325563159156646,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-19,3048,1.2973646857854997,1.2510527479035054,-0.04631193788199429,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-22,3048,1.249442377101913,1.2900226362768275,0.04058025917491462,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-23,3048,0.9119811472921563,0.9264548825874248,0.014473735295268509,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-24,3048,0.9579281514631806,1.013178085310725,0.05524993384754455,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-25,3047,0.9710495112001071,0.9517692903276763,-0.01928022087243081,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-26,3047,0.8002219171803595,0.814234214802671,0.01401229762231147,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-29,3045,1.1797558611597814,1.1929501549428962,0.013194293783114803,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-30,3045,1.112288599183838,1.1645112904563009,0.052222691272462964,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-10-09,3043,2.294120639037813,2.3375530214653644,0.0434323824275513,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
